code,name,country,city,state,city_code
FKN,Municipal,US,Franklin,Virginia,FKN
FKQ,Fak Fak Airport,ID,Fakfak,Papua,FKQ
FKS,Fukushima Airport,JP,Sukagawa,Fukushima,FKS
FLA,Capitolio Airport,CO,Florencia,Caqueta,FLA
FLB,Cangapara,BR,Floriano,Piaui,FLB
FLC,Falls Creek,AU,Maryborough,Victoria,FLC
FLD,Fond Du Lac,US,North Fond du Lac,Wisconsin,FLD
FLF,Schaferhaus,DE,Harrislee,Schleswig-Holstein,FLF
FLG,Flagstaff Pulliam Airport,US,Kachina Village,Arizona,GCN
FLH,Flotta,GB,,,FLH
FLI,Flateyri,IS,,,FLI
FLJ,Falls Bay,US,,,FLJ
FLL,Fort Lauderdale-Hollywood International Airport,US,,,FLL
FLM,Filadelfia,PY,Filadelfia,Boqueron,FLM
FLN,Hercilio Luz International Airport,BR,Carianos,Santa Catarina,FLN
FLO,Florence Airport,US,Florence,South Carolina,FLO
FLP,Flippin,US,Flippin,Arkansas,FLP
FLR,Firenze-Peretola Airport,IT,Sesto Fiorentino,Tuscany,FLR
FLS,Flinders Island Airport,AU,Bridport,Tasmania,FLS
FLT,Flat,US,,,FLT
FLU,Flushing,US,,,NYC
FLV,Sherman AAF,US,Weston,Missouri,FLV
FLW,Santa Cruz Airport,PT,,,FLW
FLX,Fallon Municipal Airport,US,,,NFL
FLY,Finley,AU,,,FLY
FLZ,Ferdinand Lumban Tobing Airport,ID,Batangtoru,North Sumatra,FLZ
FMA,El Pucu Airport,AR,Formosa,Formosa,FMA
FMC,Five Mile,US,,,FMC
FME,Tipton AAF,US,Laurel,Maryland,FME
FMG,Flamingo,CR,Sardinal,Guanacaste,FMG
FMH,Otis AFB,US,Forestdale,Massachusetts,FMH
FMI,Kalemie Airport,CD,Kalemie,Katanga,FMI
FMM,Memmingen Allgau Airport,DE,Memmingerberg,Bavaria,FMM
FMN,Four Corners Regional Airport,US,Farmington,New Mexico,FMN
FMO,Munster Osnabruck International Airport,DE,Ladbergen,North Rhine-Westphalia,FMO
FMS,Municipal,US,Fort Madison,Iowa,FMS
FMT,Faresmathoda Airport,MV,,,FMT
FMU,Florence Municipal,US,Florence,Oregon,FMU
FMY,Page Field,US,Pine Manor,Florida,FMY
FNA,Lungi International Airport,SL,Masoyila,Northern Province,FNA
FNB,Neubrandenburg,DE,Trollenhagen,Mecklenburg-Vorpommern,FNB
FNC,Madeira Airport,PT,Machico,Madeira,FNC
FND,Funadhoo Airport,MV,Funadhoo,Shaviyani Atholhu,FND
FNE,Fane,PG,,,FNE
FNG,Fada Ngourma,BF,Fada N'gourma,Est,FNG
FNH,Fincha,ET,Shambu,Oromiya,FNH
FNI,Garons Airport,FR,Garons,Languedoc-Roussillon,FNI
FNJ,Pyongyang Sunan International Airport,KP,Sunan,Pyongyang,FNJ
FNK,Fin Creek,US,,,FNK
FNL,Municipalcipal Airport,US,,,FNL
FNR,SPB,US,,,FNR
FNT,Bishop International Airport,US,Flint,Michigan,FNT
FNU,Fenosu,IT,Palmas Arborea,Sardinia,FNU
FOA,Foula,GB,,,SDZ
FOB,Fort Bragg,US,Fort Bragg,California,FOB
FOC,Changle International Airport,CN,,,FOC
FOD,Fort Dodge Airport,US,Fort Dodge,Iowa,FOD
FOE,Forbes Field,US,,,TOP
FOG,Gino Lisa,IT,,,FOG
FOK,Suffolk County,US,Westhampton,New York,FOK
FOM,Foumban,CM,Foumban,West,FOM
FON,Fortuna Airport,CR,Quesada,Alajuela,FON
FOO,Numfoor,ID,Kameri,Papua,FOO
FOP,Morris AAF,US,Forest Park,Georgia,FOP
FOR,Pinto Martins Airport,BR,Fortaleza,Ceara,FOR
FOS,Forrest,AU,,,FOS
FOT,Forster,AU,Dungog,New South Wales,FOT
FOU,Fougamou,GA,,,FOU
FOX,Fox,US,Salcha,Alaska,FOX
FOY,Foya,LR,Buedu,Eastern Province,FOY
FPO,Grand Bahama International Airport,BS,Freeport,Freeport,FPO
FPR,St Lucie County,US,Fort Pierce,Florida,FPR
FPY,Perry-Foley,US,Perry,Florida,FPY
FRA,Frankfurt Airport,DE,Kelsterbach,Hesse,FRA
FRB,Forbes,AU,Forbes,New South Wales,FRB
FRC,Franca,BR,Franca,Sao Paulo,FRC
FRD,Friday Harbor Airport,US,,,FRD
FRE,Fera Island Airport,SB,,,FRE
FRG,Republic Field,US,East Farmingdale,New York,FRG
FRH,Municipal,US,French Lick,Indiana,FRH
FRI,Marshall AAF,US,Fort Riley North,Kansas,FRI
FRK,Fregate Island,SC,,,FRK
FRL,Luigi Ridolfi,IT,Forli,Emilia-Romagna,FRL
FRM,Fairmont,US,Fairmont,Minnesota,FRM
FRN,Bryant AAF,US,Elmendorf Air Force Base,Alaska,FRN
FRO,Flora Airport,NO,Floro,Sogn og Fjordane,FRO
FRP,Fresh Water Bay,US,,,FRP
FRQ,Feramin,PG,,,FRQ
FRR,Front Royal-Warren County,US,Front Royal,Virginia,FRR
FRS,Santa Elena Airport,GT,Flores,Peten,FRS
FRT,Frutillar,CL,Frutillar,Los Lagos,FRT
FRU,Manas International Airport,KG,Bishkek,Chuy,FRU
FRW,Francistown Airport,BW,Francistown,North East,FRW
FRY,Fryeburg,US,Fryeburg,Maine,FRY
FRZ,Fritzlar Airbase,DE,Fritzlar,Hesse,FRZ
FSC,Sud Corse Airport,FR,Bonifacio,Corsica,FSC
FSD,Sioux Falls Regional Airport (Joe Foss Field),US,Sioux Falls,South Dakota,FSD
FSI,Henry Post AAF,US,,,FSI
FSK,Municipal,US,Fort Scott,Kansas,FSK
FSL,Fossil Downs,AU,,,FSL
FSM,Fort Smith Regional Airport,US,Barling,Arkansas,FSM
FSN,Haley AAF,US,Buffalo Grove,Illinois,FSN
FSP,Saint Pierre Airport,PM,Saint-Pierre,Saint-Pierre,FSP
FSS,Kinloss,GB,Kinloss,Scotland,FSS
